Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Edward Hospital (FKA Edward Heart Hospital),Medicine - Physical Medicine and Rehabilitation,"$137,191","$1,746,390","3,949",254,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Northwestern Memorial Hospital,Path. and Lab. - Proprietary Laboratory Analyses,"$133,448","$236,303",437,329,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),Chemotherapy Drugs,"$132,891","$894,941",106,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1171
Edward Hospital (FKA Edward Heart Hospital),Radiology - Radiation Oncology,"$132,888","$1,921,548",421,13,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Community Hospital,Temporary Hospital Outpatient Prospective Payment System,"$132,223","$1,212,399",382,106,Powers Health (FKA Community Healthcare System),,1340
Advocate Christ Medical Center,Surgery - Cardiovascular System,"$131,522","$375,834",797,251,Advocate Health Care,Advocate Health,1127
University of Illinois Hospital,Surgery - Digestive System,"$131,503","$704,873",130,71,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
MacNeal Hospital,Eval. and Mgmt. - Emergency Department Services,"$131,117","$677,776",300,149,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1159
Northwestern Medicine Central DuPage Hospital,Medicine - Cardiovascular,"$131,090","$696,415",433,216,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Surgery - Musculoskeletal System,"$130,901","$473,676",148,30,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
University of Illinois Hospital,"Medicine - Injections, Infusions, and Complex Agent Administration","$130,219","$897,088","1,538",149,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),Eval. and Mgmt. - Emergency Department Services,"$129,082","$577,330",253,152,Sinai Chicago (FKA Sinai Health System),,1152
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Medicine - Cardiovascular,"$128,960","$1,777,484",916,336,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Northwestern Medicine Lake Forest Hospital,Chemotherapy Drugs,"$128,710","$1,256,132",32,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1208
St Catherine Hospital,Drugs Not Administered Orally,"$128,402","$898,775",320,62,Powers Health (FKA Community Healthcare System),,1346
Advocate Lutheran General Hospital,Eval. and Mgmt. - Emergency Department Services,"$127,802","$456,170",249,171,Advocate Health Care,Advocate Health,1128
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Surgery - Urinary System,"$127,029","$928,179",163,72,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Advocate Christ Medical Center,Radiology - Radiation Oncology,"$126,226","$2,965,760",960,34,Advocate Health Care,Advocate Health,1127
Northwest Community Hospital (AKA Northwest Community Healthcare),Drugs Not Administered Orally,"$125,536","$505,630","1,220",180,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1133
Evanston Hospital (AKA NorthShore Evanston Hospital),Radiology - Nuclear Medicine,"$125,159","$912,280",146,122,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),Drugs Not Administered Orally,"$124,879","$701,124",230,74,,,5910
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Radiology - Nuclear Medicine,"$124,727","$1,305,423",131,105,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Northwestern Medicine Palos Hospital (AKA Palos Health),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental","$124,492","$1,339,505",100,84,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1160
Insight Hospital & Medical Center Chicago (FKA Mercy Hospital & Medical Center),Eval. and Mgmt. - Emergency Department Services,"$124,376","$608,724",330,182,Insight,,1144
Northwestern Medicine Lake Forest Hospital,Eval. and Mgmt. - Emergency Department Services,"$123,746","$679,596",179,118,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1208
Advocate Illinois Masonic Medical Center,Medicine - Cardiovascular,"$123,334","$724,395",470,166,Advocate Health Care,Advocate Health,1125
Community Hospital,Surgery - Digestive System,"$123,195","$575,965",148,73,Powers Health (FKA Community Healthcare System),,1340
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),Medicine - Special Otorhinolaryngologic Services,"$122,881","$1,113,804","2,005",167,,,5910
UChicago Medicine Ingalls Memorial Hospital,Drugs Not Administered Orally,"$122,459","$821,527",390,111,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1118
Evanston Hospital (AKA NorthShore Evanston Hospital),Temporary Hospital Outpatient Prospective Payment System,"$121,233","$3,170,223",562,224,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Advocate Lutheran General Hospital,Medicine - Cardiovascular,"$120,677","$492,250",326,132,Advocate Health Care,Advocate Health,1128
Community Hospital,Radiology - Diagnostic Imaging,"$120,330","$2,340,600","1,173",413,Powers Health (FKA Community Healthcare System),,1340
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),Surgery - Nervous System,"$120,273","$431,358",159,28,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1178
Advocate Christ Medical Center,Surgery - Digestive System,"$120,237","$363,798",116,72,Advocate Health Care,Advocate Health,1127
Riverside Medical Center (AKA Riverside Healthcare),Surgery - Cardiovascular System,"$120,200","$445,967",724,227,,,1201
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),Surgery - Eye and Ocular Adnexa,"$119,958","$416,220",65,43,Ascension Health Illinois,Ascension Health,1129
Loyola University Medical Center,Radiology - Radiation Oncology,"$119,235","$1,009,245",280,13,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Community Hospital,Surgery - Nervous System,"$119,072","$232,415",44,23,Powers Health (FKA Community Healthcare System),,1340
Northwest Community Hospital (AKA Northwest Community Healthcare),Surgery - Digestive System,"$118,303","$332,083",101,56,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1133
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Radiology - Diagnostic Imaging,"$118,276","$3,584,570","1,002",453,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),Surgery - Cardiovascular System,"$117,882","$261,770",811,410,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1178
Resurrection Medical Center (FKA Ascension Resurrection),Radiology - Diagnostic Imaging,"$116,635","$898,126",377,181,Prime Healthcare Services,Prime Healthcare Services,1147
Mercy Medical Center (FKA Ascension Mercy),Surgery - Urinary System,"$115,970","$804,825",70,49,Prime Healthcare Services,Prime Healthcare Services,1195
Northwestern Medicine Central DuPage Hospital,Surgery - Nervous System,"$115,615","$282,163",44,26,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Northwestern Memorial Hospital,Surgery - Integumentary System,"$115,298","$929,954",128,83,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Community Hospital,Surgery - Urinary System,"$111,715","$416,295",64,33,Powers Health (FKA Community Healthcare System),,1340
Edward Hospital (FKA Edward Heart Hospital),Temporary Hospital Outpatient Prospective Payment System,"$111,613","$4,060,650",606,225,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),Surgery - Digestive System,"$111,571","$384,806",128,90,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1178
Evanston Hospital (AKA NorthShore Evanston Hospital),Medicine - Physical Medicine and Rehabilitation,"$111,325","$712,111","3,005",200,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Unity Physicians Hospital (FKA Unity Medical and Surgical Hospital),Chemotherapy Drugs,"$111,277","$503,167",28,,,,1381
MacNeal Hospital,Surgery - Musculoskeletal System,"$111,235","$311,432",17,15,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1159
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),Eval. and Mgmt. - Emergency Department Services,"$111,188","$628,525",218,162,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1178
Elmhurst Hospital,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental","$111,053","$805,620",264,100,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Advocate Lutheran General Hospital,Drugs Not Administered Orally,"$110,404","$795,704","1,266",276,Advocate Health Care,Advocate Health,1128
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Surgery - Cardiovascular System,"$110,169","$460,767","1,413",525,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),Eval. and Mgmt. - Emergency Department Services,"$109,569","$620,996",232,139,Prime Healthcare Services,Prime Healthcare Services,1120
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),Eval. and Mgmt. - Emergency Department Services,"$109,228","$621,530",216,165,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1162
Evanston Hospital (AKA NorthShore Evanston Hospital),Surgery - Urinary System,"$109,173","$278,646",288,123,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
University of Illinois Hospital,Surgery - Nervous System,"$108,949","$160,534",44,28,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Silver Cross Hospital,Surgery - Cardiovascular System,"$108,776","$315,321",945,394,,,1277
Northwestern Medicine Marianjoy Rehabilitation Hospital,Medicine - Physical Medicine and Rehabilitation,"$108,480","$889,096","2,580",96,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,5639
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Radiology - Radiation Oncology,"$107,177","$1,496,415",307,14,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
West Suburban Medical Center,Chemotherapy Drugs,"$107,003","$1,262,806",62,,Resilience Healthcare,,1157
Northwest Community Hospital (AKA Northwest Community Healthcare),Eval. and Mgmt. - Emergency Department Services,"$106,559","$405,958",226,138,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1133
Silver Cross Hospital,Medicine - Cardiovascular,"$106,311","$403,588",499,200,,,1277
Resurrection Medical Center (FKA Ascension Resurrection),Medicine - Cardiovascular,"$104,558","$704,416",262,122,Prime Healthcare Services,Prime Healthcare Services,1147
Elmhurst Hospital,"Medicine - Injections, Infusions, and Complex Agent Administration","$103,369","$1,174,012","1,166",262,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwest Community Hospital (AKA Northwest Community Healthcare),Medicine - Cardiovascular,"$103,162","$525,200",427,160,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1133
Edward Hospital (FKA Edward Heart Hospital),Radiology - Nuclear Medicine,"$103,012","$876,618",123,98,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Mercy Medical Center (FKA Ascension Mercy),Radiology - Diagnostic Imaging,"$101,648","$3,874,664","1,471",461,Prime Healthcare Services,Prime Healthcare Services,1195
Advocate Christ Medical Center,Medicine - Cardiovascular,"$101,530","$552,135",483,204,Advocate Health Care,Advocate Health,1127
Saint Francis Hospital (FKA Ascension Saint Francis),Drugs Not Administered Orally,"$101,443","$961,941",363,87,Prime Healthcare Services,Prime Healthcare Services,1164
Advocate Sherman Hospital,Medicine - Cardiovascular,"$100,286","$472,010",184,71,Advocate Health Care,Advocate Health,1199
Humboldt Park Health (FKA Norwegian American Hospital),Eval. and Mgmt. - Emergency Department Services,"$99,215","$283,989",195,114,,,1126
Gottlieb Memorial Hospital,Surgery - Integumentary System,"$98,733","$319,558",164,32,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1153
University of Illinois Hospital,Radiology - Diagnostic Imaging,"$98,402","$2,852,010","1,233",416,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Community Hospital,Medicine - Physical Medicine and Rehabilitation,"$97,860","$600,345","3,591",150,Powers Health (FKA Community Healthcare System),,1340
Advocate Condell Medical Center,Surgery - Cardiovascular System,"$97,833","$347,463",146,78,Advocate Health Care,Advocate Health,1207
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Surgery - Male Genital System,"$97,427","$367,831",25,21,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Northwestern Medicine Central DuPage Hospital,Medicine - Physical Medicine and Rehabilitation,"$97,375","$1,062,217","3,427",207,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Northwestern Memorial Hospital,Surgery - Respiratory System,"$96,907","$636,758",84,33,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwest Community Hospital (AKA Northwest Community Healthcare),Radiology - Diagnostic Imaging,"$96,686","$1,698,146",948,357,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1133
Edward Hospital (FKA Edward Heart Hospital),Surgery - Urinary System,"$96,577","$521,404",152,71,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
