Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$77,943","$320,576",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$41,664","$320,445",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Palos Hospital (AKA Palos Health),"CORONARY BYPASS W/O CARDIAC CATH  (235, 236)","$37,988","$320,191",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
OSF Saint Francis Medical Center,"BACK & NECK PROC EXC SPINAL FUSION (518, 519, 520)","$31,139","$320,029",,,OSF HealthCare,
Edward Hospital (FKA Edward Heart Hospital),"CELLULITIS  (602, 603)","$65,577","$319,708",12,11,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$39,428","$319,489",,,Prime Healthcare Services,Prime Healthcare Services
MacNeal Hospital,"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$73,677","$319,448",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$74,956","$319,230",,,Ascension Health Illinois,Ascension Health
HCA Florida Northwest Hospital (FKA Northwest Medical Center),"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$30,463","$318,959",,,HCA East Florida Division,HCA Healthcare (FKA Hospital Corporation of America)
Northwestern Memorial Hospital,"ADRENAL & PITUITARY PROCEDURES  (614, 615)","$40,862","$318,768",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"DIGESTIVE MALIGNANCY  (374, 375, 376)","$35,871","$318,743",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Memorial Hospital,"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$80,734","$318,623",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"CERVICAL SPINAL FUSION  (471, 472, 473)","$33,496","$318,405",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Memorial Hospital,"HYPERTENSION  (304, 305)","$75,369","$318,034",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Illinois Masonic Medical Center,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$74,110","$317,962",,,Advocate Health Care,Advocate Health
University of Illinois Hospital,"SEIZURES  (100, 101)","$99,831","$317,471",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
BayCare St Anthonys Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$48,868","$317,141",,,BayCare Health System,
Uchicago Medicine AdventHealth GlenOaks (FKA AdventHealth GlenOaks),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$84,221","$316,650",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Gottlieb Memorial Hospital,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$44,043","$316,167",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
West Suburban Medical Center,"PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC  (040, 041, 042)","$39,255","$315,629",,,Resilience Healthcare,
Valley Baptist Medical Center - Brownsville (FKA VHS Brownsville Hospital),"ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS (278,279)","$23,405","$315,418",,,Valley Baptist Health System,Tenet Healthcare
UW Health University Hospital,KIDNEY TRANSPLANT  (652),"$29,388","$315,124",,,University of Wisconsin Health (AKA UW Health),
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$53,765","$315,066",,,Prime Healthcare Services,Prime Healthcare Services
Northwestern Medicine Palos Hospital (AKA Palos Health),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$87,924","$314,957",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Cleveland Clinic Main Campus,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES  (025, 026, 027)","$75,462","$314,899",,,Cleveland Clinic Health System,Cleveland Clinic Health System
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),"CERVICAL SPINAL FUSION  (471, 472, 473)","$38,365","$314,353",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
MacNeal Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$65,286","$313,485",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Loyola University Medical Center,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES  (264),"$88,714","$313,329",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Gottlieb Memorial Hospital,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$29,478","$313,161",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Weiss Memorial Hospital (Closed),SEPTICEMIA OR SEVERE SEPSIS W MV 96 OR MORE HOURS  (870),$0,"$312,879",,,Resilience Healthcare,
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"HEART FAILURE & SHOCK  (291, 292, 293)","$81,024","$312,630",,,Ascension Health Illinois,Ascension Health
Advocate Condell Medical Center,"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$35,679","$312,055",,,Advocate Health Care,Advocate Health
Hartgrove Hospital (AKA Hartgrove Behavioral Health System),PSYCHOSES  (885),"$121,491","$311,595",18,15,Universal Health Services,Universal Health Services
Swedish Hospital (FKA Swedish Covenant Hospital),"SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR 9 OR MORE FUS  (456, 457, 458)","$113,954","$311,408",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Humboldt Park Health (FKA Norwegian American Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$142,307","$311,186",,,,
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),ORGANIC DISTURBANCES & MENTAL RETARDATION  (884),"$42,258","$310,661",,,Prime Healthcare Services,Prime Healthcare Services
OSF Saint Anthony Medical Center,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$39,230","$310,451",,,OSF HealthCare,
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),PSYCHOSES  (885),"$76,100","$310,340",11,,Sinai Chicago (FKA Sinai Health System),
Northwestern Medicine Lake Forest Hospital,"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$60,147","$310,134",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Cedars-Sinai Medical Center,"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$27,301","$310,005",,,Cedars-Sinai Health System,Cedars-Sinai Health System
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"HEART FAILURE & SHOCK  (291, 292, 293)","$78,122","$309,701",,,Prime Healthcare Services,Prime Healthcare Services
Gottlieb Memorial Hospital,"G.I. HEMORRHAGE  (377, 378, 379)","$44,990","$309,400",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Edward Hospital (FKA Edward Heart Hospital),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$54,935","$308,542",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$54,874","$308,471",,,Franciscan Alliance Inc (AKA Franciscan Health),
UW Health University Hospital,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$51,089","$308,148",,,University of Wisconsin Health (AKA UW Health),
Northwest Health - Porter (AKA Porter Regional Hospital),"OTHER O.R. PROCEDURES FOR INJURIES  (907, 908, 909)","$23,180","$307,851",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Loyola University Medical Center,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$95,869","$307,566",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Humboldt Park Health (FKA Norwegian American Hospital),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$61,319","$307,386",,,,
Advocate Good Samaritan Hospital,"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$25,412","$307,280",,,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE  (020, 021, 022)","$58,690","$305,891",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
The University of Kansas Hospital,"OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS  (802, 803, 804)",$0,"$305,049",,,The University of Kansas Health System,
MacNeal Hospital,"UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS  (255, 256, 257)","$48,184","$304,643",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Advocate Illinois Masonic Medical Center,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$64,202","$304,181",,,Advocate Health Care,Advocate Health
Community Hospital,"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$83,822","$303,731",,,Powers Health (FKA Community Healthcare System),
Loyola University Medical Center,"COMPLICATIONS OF TREATMENT  (919, 920, 921)","$230,467","$303,693",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Northwestern Medicine Palos Hospital (AKA Palos Health),"CARDIAC DEFIBRILLATOR IMPLANT (275,276,277)","$31,639","$303,007",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwest Health - Porter (AKA Porter Regional Hospital),"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)","$22,053","$302,785",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Advocate Christ Medical Center,"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$61,477","$301,916",,,Advocate Health Care,Advocate Health
Silver Cross Hospital,"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$91,414","$301,705",,,,
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$257,593","$301,470",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE  (020, 021, 022)","$62,363","$301,330",,,Ascension Health Illinois,Ascension Health
Northwestern Memorial Hospital,"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$36,523","$300,804",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE (521, 522)","$63,740","$300,484",,,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"DIABETES  (637, 638, 639)","$44,499","$300,132",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
University of Illinois Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$96,335","$299,995",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Advocate Good Samaritan Hospital,"AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS  (474, 475, 476)","$45,700","$299,821",,,Advocate Health Care,Advocate Health
Northwestern Memorial Hospital,"PULMONARY EMBOLISM  (175, 176)","$61,454","$299,749",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$90,319","$299,504",,,Advocate Health Care,Advocate Health
Northwestern Medicine Central DuPage Hospital,"RENAL FAILURE  (682, 683, 684)","$30,491","$299,263",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Illinois Masonic Medical Center,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH  (286, 287)","$36,748","$299,236",,,Advocate Health Care,Advocate Health
Silver Cross Hospital,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$82,792","$299,097",,,,
Mount Sinai South Nassau (FKA South Nassau Communities Hospital),"NERVOUS SYSTEM NEOPLASMS  (054, 055)","$16,664","$298,893",,,Mount Sinai Health System (FKA Mount Sinai Medical Center),
Northwestern Medicine Palos Hospital (AKA Palos Health),"MEDICAL BACK PROBLEMS  (551, 552)","$42,824","$298,255",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwest Health - Porter (AKA Porter Regional Hospital),"DIGESTIVE MALIGNANCY  (374, 375, 376)","$16,140","$298,068",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Advocate Lutheran General Hospital,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$59,550","$297,847",,,Advocate Health Care,Advocate Health
Mercy Medical Center (FKA Ascension Mercy),"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC  (628, 629, 630)","$47,516","$297,716",,,Prime Healthcare Services,Prime Healthcare Services
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$58,605","$297,602",,,Franciscan Alliance Inc (AKA Franciscan Health),
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS  (208),"$66,510","$297,580",,,Sinai Chicago (FKA Sinai Health System),
Advocate Good Samaritan Hospital,"AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON (268, 269)","$76,098","$297,379",,,Advocate Health Care,Advocate Health
Cedars-Sinai Medical Center,"KNEE PROCEDURES W/O PDX OF INFECTION  (488, 489)","$23,573","$297,236",,,Cedars-Sinai Health System,Cedars-Sinai Health System
Mercy Medical Center (FKA Ascension Mercy),"DIABETES  (637, 638, 639)","$51,184","$297,099",,,Prime Healthcare Services,Prime Healthcare Services
Elmhurst Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$53,249","$296,958",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
MacNeal Hospital,"POISONING & TOXIC EFFECTS OF DRUGS  (917, 918)","$49,711","$296,908",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Delray Medical Center,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA  (956)","$23,744","$296,885",,,Palm Beach Health Network (FKA Tenet Florida),Tenet Healthcare
OSF Saint Anthony Medical Center,"CORONARY INTRAVASCULAR LITHOTRIPSY (323,324,325)","$29,962","$296,393",,,OSF HealthCare,
Silver Cross Hospital,"HEART FAILURE & SHOCK  (291, 292, 293)","$87,148","$295,324",11,,,
AdventHealth Orlando (FKA Florida Hospital Orlando),"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX  (023, 024)","$41,730","$294,431",,,AdventHealth Central Florida Division,AdventHealth (FKA Adventist Health System)
Edward Hospital (FKA Edward Heart Hospital),"UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS  (255, 256, 257)","$36,616","$294,391",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Palos Hospital (AKA Palos Health),"OTHER VASCULAR PROCEDURES  (252, 253, 254)","$63,394","$294,385",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Resurrection Medical Center (FKA Ascension Resurrection),"NONSPECIFIC CEREBROVASCULAR DISORDERS  (070, 071, 072)","$45,766","$293,901",,,Prime Healthcare Services,Prime Healthcare Services
Hospital for Special Surgery,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$42,569","$293,816",,,,
MacNeal Hospital,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$52,312","$293,801",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$86,027","$293,749",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$45,690","$293,441",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Loyola University Medical Center,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$74,392","$293,402",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
OSF Saint Francis Medical Center,"CARDIAC DEFIBRILLATOR IMPLANT (275,276,277)","$51,405","$293,335",,,OSF HealthCare,
Elmhurst Hospital,"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$73,628","$292,922",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Lake Forest Hospital,"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$29,883","$292,258",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Condell Medical Center,"STOMACH, ESOPHAGEAL & DUODENAL PROC  (326, 327, 328)","$34,233","$292,233",,,Advocate Health Care,Advocate Health
Advocate Good Samaritan Hospital,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$52,327","$292,230",,,Advocate Health Care,Advocate Health
Cleveland Clinic Main Campus,"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH  (216, 217, 218)","$55,198","$292,218",,,Cleveland Clinic Health System,Cleveland Clinic Health System
Silver Cross Hospital,"MAJOR CHEST PROCEDURES  (163, 164, 165)","$94,313","$291,888",,,,
RUSH Specialty Hospital,"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$15,207","$291,625",,,Select Medical Corporation,Select Medical Corporation
John H Stroger Jr Hospital of Cook County,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$230,744","$291,522",,,Cook County Health & Hospitals System,
